Item,Carga CPU,Carga RAM,Promedio Trespuesta,AvgIOReadOperationsPerSec,AvgIOWriteOperationsPerSec,SQL Cache Memory,Sesiones Activas,Loginspersecond,User Conections,Disponibilidad SQL,Average Latch Wait Time,Lock Wait Time,Eventos SQL
1,49,98.03076172,3,13.41166709,269.0470317,59038,104.2222222,0.100327933,243.9722222,100,1.678430297,12.44593882,0
2,62,97.58353424,3,92.91464732,360.3912186,56628.60606,81.93939394,0.096497773,236.6363636,100,1.858767827,16.866948,0
3,22.28571429,41.11075211,2.869565217,16.41929008,79.777079,123948.8,73.43333333,0.086736619,43.63333333,96.66666667,0.624817753,3.778304543,0
4,31,41.55376943,3,17.62230603,102.3261794,125292.2222,88.75,0.088007344,46.02777778,100,0.614951689,3.379388566,0
5,31.66666667,42.23806763,3,16.11416218,119.7499522,123992.4444,74.30555556,0.094610559,50.5,100,0.830691116,6.580886342,0
6,40.33333333,42.50914383,3,19.35812094,102.7716275,125271.1111,74.44444444,0.090848149,48.58333333,100,1.002452714,6.540112186,0
7,47.66666667,42.97311783,3,18.05866133,110.7213504,123928.4444,89,0.091974978,50.86111111,100,1.243291315,10.20291518,0
8,39.66666667,43.27098592,3,61.72038621,152.4946926,124014,108.2777778,0.090648629,50.75,100,1.271264733,10.67961083,0
9,38.66666667,65.39162827,3,103.7381758,307.0407117,84480.88889,87.41666667,0.091096233,49.58333333,100,1.740408853,8.909369466,0
10,56.66666667,78.87682851,3,108.9027253,396.1831694,61371.55556,105.6388889,0.088869369,51.08333333,100,1.866367436,9.947190491,0
11,55,87.17818197,2.666666667,122.0083412,419.2195098,59200,96.5,0.098008784,54.22222222,97.22222222,2.172669079,13.50478388,0
12,37.33333333,91.59358724,3,104.3602183,407.2591191,57468,109.0555556,0.105175287,109.9722222,100,2.929635826,13.26929822,2
13,33.66666667,93.10612996,3,104.3930259,431.2756289,56019.77778,92.25,0.093781125,115.4166667,100,3.008749794,10.03603968,0
14,52,94.8121109,5.333333333,110.7832155,449.4100298,57994.44444,103.1111111,0.104344784,123.9166667,100,3.179428855,7.94482876,0
15,41,96.42622884,3,117.1644311,422.6929971,58670.88889,98.91666667,0.092247483,129.2222222,100,2.729804396,12.56436397,0
16,46,96.89615631,3,258.0787089,448.9124052,60065.55556,130.2777778,0.091204157,129.6111111,100,2.921545527,14.00368133,0
17,70.66666667,97.13987223,3,140.0716227,330.9275582,61337.11111,94.86111111,0.093603249,128.3055556,100,3.017418645,9.860416779,0
18,67,97.49223073,3,199.1812014,390.3873554,63309.11111,115.9722222,0.091202608,128.7777778,100,3.09101877,15.39503549,0
19,63.66666667,97.86069489,3,367.6503452,377.6801066,61110.88889,104.25,0.099383749,133.3333333,100,2.495836626,10.54839565,0
20,45.66666667,98.00469716,8.333333333,135.4515301,398.932396,62968.22222,109.4444444,0.110963878,133.9722222,100,2.781209492,8.287508569,2
21,56.66666667,97.79653931,1,414.9959398,432.8356314,65147.11111,114.8888889,0.108007735,155.9166667,100,3.014058349,7.446283861,0
22,50.33333333,97.75124105,1,205.3940448,463.7985719,62504.44444,104.8611111,0.13133633,184.25,100,2.898607989,11.63285245,0
23,53.66666667,97.39674886,1,108.9778507,430.4074981,62400,87.16666667,0.099148227,182.5277778,97.22222222,2.396446012,12.7198082,0
24,42.66666667,97.35561879,1,257.8095531,456.2405738,64322.88889,100.5277778,0.097576453,182.5555556,100,2.290099213,7.972891604,0
25,68.66666667,97.53449504,1,162.4748174,372.6718437,65980.88889,82.38888889,0.099648018,181.1944444,100,2.105584337,7.571252252,0
26,71.33333333,97.71748352,1,342.8340492,390.1850885,62676.66667,126.3611111,0.104501891,181.5,100,2.094905991,9.716128256,0
